j,job_id,timestamp,N,pi_est,error
1,8,2026-06-04 08:56:32,10000,3.1248,0.016792653589793094
2,61,2026-06-04 08:56:32,20000,3.1212,0.02039265358979314
3,13,2026-06-04 08:56:32,30000,3.1292,0.012392653589793134
4,32,2026-06-04 08:56:32,40000,3.1312,0.01039265358979291
5,19,2026-06-04 08:56:32,50000,3.13696,0.004632653589792923
6,35,2026-06-04 08:56:32,60000,3.1370666666666667,0.004525986923126446
7,37,2026-06-04 08:56:32,70000,3.138114285714286,0.00347836787550726
8,5,2026-06-04 08:56:32,80000,3.1407,0.0008926535897932908
9,4,2026-06-04 08:56:32,90000,3.1397333333333335,0.001859320256459629
10,1,2026-06-04 08:56:32,100000,3.13808,0.0035126535897931355
11,54,2026-06-04 08:56:32,110000,3.1371272727272728,0.004465380862520352
12,99,2026-06-04 08:56:33,120000,3.1363333333333334,0.005259320256459699
13,66,2026-06-04 08:56:33,130000,3.136615384615385,0.004977268974408311
14,67,2026-06-04 08:56:33,140000,3.134457142857143,0.007135510732650285
15,62,2026-06-04 08:56:33,150000,3.1345066666666668,0.007085986923126342
16,89,2026-06-04 08:56:33,160000,3.13525,0.006342653589793024
17,74,2026-06-04 08:56:33,170000,3.135011764705882,0.006580888883910951
18,49,2026-06-04 08:56:33,180000,3.132311111111111,0.00928154247868207
19,38,2026-06-04 08:56:33,190000,3.1337894736842107,0.007803179905582436
20,14,2026-06-04 08:56:33,200000,3.13538,0.00621265358979306
21,28,2026-06-04 08:56:33,210000,3.135409523809524,0.0061831297802692475
22,29,2026-06-04 08:56:33,220000,3.1361818181818184,0.005410835407974712
23,15,2026-06-04 08:56:33,230000,3.135878260869565,0.005714392720228112
24,33,2026-06-04 08:56:33,240000,3.1365,0.005092653589793272
25,31,2026-06-04 08:56:33,250000,3.136272,0.005320653589793167
26,21,2026-06-04 08:56:33,260000,3.137030769230769,0.004561884359024049
27,34,2026-06-04 08:56:33,270000,3.137348148148148,0.004244505441644897
28,36,2026-06-04 08:56:33,280000,3.1375571428571427,0.004035510732650405
29,22,2026-06-04 08:56:33,290000,3.13751724137931,0.004075412210482909
30,23,2026-06-04 08:56:33,300000,3.1380933333333334,0.003499320256459715
31,78,2026-06-04 08:56:33,310000,3.138516129032258,0.003076524557535265
32,50,2026-06-04 08:56:33,320000,3.1391625,0.0024301535897932602
33,44,2026-06-04 08:56:33,330000,3.1390666666666664,0.0025259869231266663
34,79,2026-06-04 08:56:33,340000,3.1390823529411764,0.0025103006486166812
35,92,2026-06-04 08:56:33,350000,3.139062857142857,0.0025297964469359613
36,7,2026-06-04 08:56:33,360000,3.1389555555555555,0.002637098034237617
37,47,2026-06-04 08:56:33,370000,3.1390594594594594,0.0025331941303337047
38,53,2026-06-04 08:56:33,380000,3.139273684210526,0.0023189693792668997
39,46,2026-06-04 08:56:33,390000,3.1399384615384616,0.001654192051331549
40,85,2026-06-04 08:56:33,400000,3.14023,0.0013626535897932612
41,0,2026-06-04 08:56:33,410000,3.1398926829268294,0.001699970662963679
42,81,2026-06-04 08:56:33,420000,3.1400285714285716,0.0015640821612215028
43,42,2026-06-04 08:56:33,430000,3.1400279069767443,0.0015647466130488397
44,94,2026-06-04 08:56:33,440000,3.1398727272727274,0.0017199263170657453
45,3,2026-06-04 08:56:33,450000,3.1399733333333333,0.001619320256459833
