j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,0,2026-07-16 14:31:52,2026-07-16 14:33:21,2026-07-16 14:33:22,89.0,90.0,0,1000,3.136,0.005592653589792995
2,1,2026-07-16 14:31:52,2026-07-16 14:33:21,2026-07-16 14:33:22,89.0,90.0,0,2000,3.234,0.09240734641020687
3,2,2026-07-16 14:31:52,2026-07-16 14:33:21,2026-07-16 14:33:22,89.0,90.0,0,3000,3.2066666666666666,0.06507401307687344
4,4,2026-07-16 14:31:52,2026-07-16 14:33:21,2026-07-16 14:33:23,89.0,91.0,0,4000,3.196,0.05440734641020706
5,3,2026-07-16 14:31:52,2026-07-16 14:33:21,2026-07-16 14:33:23,89.0,91.0,0,5000,3.156,0.014407346410207023
6,6,2026-07-16 14:31:52,2026-07-16 14:33:23,2026-07-16 14:33:24,91.0,92.0,0,6000,3.156,0.014407346410207023
7,5,2026-07-16 14:31:52,2026-07-16 14:33:22,2026-07-16 14:33:24,90.0,92.0,0,7000,3.153714285714286,0.012121632124492798
8,7,2026-07-16 14:31:52,2026-07-16 14:33:23,2026-07-16 14:33:25,91.0,93.0,0,8000,3.1625,0.020907346410206973
9,8,2026-07-16 14:31:52,2026-07-16 14:33:24,2026-07-16 14:33:26,92.0,94.0,0,9000,3.167111111111111,0.025518457521318094
10,10,2026-07-16 14:31:52,2026-07-16 14:33:24,2026-07-16 14:33:26,92.0,94.0,0,10000,3.1632,0.021607346410206674
11,9,2026-07-16 14:31:52,2026-07-16 14:33:25,2026-07-16 14:33:27,93.0,95.0,0,11000,3.160727272727273,0.019134619137479714
12,12,2026-07-16 14:31:52,2026-07-16 14:33:25,2026-07-16 14:33:27,93.0,95.0,0,12000,3.152,0.010407346410207019
13,11,2026-07-16 14:31:52,2026-07-16 14:33:25,2026-07-16 14:33:27,93.0,95.0,0,13000,3.1547692307692308,0.013176577179437654
14,14,2026-07-16 14:31:52,2026-07-16 14:33:26,2026-07-16 14:33:28,94.0,96.0,0,14000,3.1574285714285715,0.015835917838778357
15,15,2026-07-16 14:31:52,2026-07-16 14:33:26,2026-07-16 14:33:28,94.0,96.0,0,15000,3.160266666666667,0.018674013076873663
16,16,2026-07-16 14:31:52,2026-07-16 14:33:26,2026-07-16 14:33:28,94.0,96.0,0,16000,3.158,0.016407346410206802
17,13,2026-07-16 14:31:52,2026-07-16 14:33:27,2026-07-16 14:33:29,95.0,97.0,0,17000,3.156,0.014407346410207023
18,18,2026-07-16 14:31:52,2026-07-16 14:33:27,2026-07-16 14:33:29,95.0,97.0,0,18000,3.155777777777778,0.014185124187984677
19,19,2026-07-16 14:31:52,2026-07-16 14:33:27,2026-07-16 14:33:29,95.0,97.0,0,19000,3.1570526315789476,0.015459977989154439
20,17,2026-07-16 14:31:52,2026-07-16 14:33:28,2026-07-16 14:33:30,96.0,98.0,0,20000,3.154,0.012407346410206799
21,21,2026-07-16 14:31:52,2026-07-16 14:33:29,2026-07-16 14:33:31,97.0,99.0,0,21000,3.1533333333333333,0.011740679743540205
22,20,2026-07-16 14:31:52,2026-07-16 14:33:29,2026-07-16 14:33:31,97.0,99.0,0,22000,3.149636363636364,0.008043710046570673
23,22,2026-07-16 14:31:52,2026-07-16 14:33:30,2026-07-16 14:33:31,98.0,99.0,0,23000,3.152695652173913,0.011102998584120005
24,24,2026-07-16 14:31:52,2026-07-16 14:33:30,2026-07-16 14:33:32,98.0,100.0,0,24000,3.1523333333333334,0.010740679743540316
