j,job_id,timestamp,N,pi_est,error
1,18,2026-06-16 13:43:09,1000,3.124,0.017592653589793006
2,6,2026-06-16 13:43:09,2000,3.16,0.018407346410207026
3,0,2026-06-16 13:43:09,3000,3.1306666666666665,0.01092598692312663
4,65,2026-06-16 13:43:10,4000,3.14,0.0015926535897929917
5,63,2026-06-16 13:43:10,5000,3.1392,0.0023926535897929035
6,49,2026-06-16 13:43:10,6000,3.1426666666666665,0.0010740130768733813
7,39,2026-06-16 13:43:10,7000,3.1434285714285712,0.0018359178387781228
8,29,2026-06-16 13:43:10,8000,3.1555,0.013907346410206856
9,33,2026-06-16 13:43:10,9000,3.1573333333333333,0.01574067974354021
10,32,2026-06-16 13:43:10,10000,3.15,0.008407346410206795
11,30,2026-06-16 13:43:10,11000,3.158909090909091,0.017316437319297773
12,31,2026-06-16 13:43:10,12000,3.1653333333333333,0.023740679743540216
13,35,2026-06-16 13:43:10,13000,3.1584615384615384,0.016868884871745315
14,34,2026-06-16 13:43:10,14000,3.158,0.016407346410206802
15,37,2026-06-16 13:43:10,15000,3.1618666666666666,0.020274013076873487
16,51,2026-06-16 13:43:10,16000,3.1605,0.01890734641020675
17,57,2026-06-16 13:43:10,17000,3.1621176470588237,0.020524993469030584
18,43,2026-06-16 13:43:10,18000,3.1615555555555557,0.01996290196576256
19,55,2026-06-16 13:43:10,19000,3.1572631578947368,0.015670504304943655
20,40,2026-06-16 13:43:10,20000,3.156,0.014407346410207023
21,54,2026-06-16 13:43:10,21000,3.1533333333333333,0.011740679743540205
22,71,2026-06-16 13:43:11,22000,3.154909090909091,0.01331643731929777
23,64,2026-06-16 13:43:11,23000,3.1535652173913045,0.011972563801511349
24,70,2026-06-16 13:43:11,24000,3.148833333333333,0.007240679743540035
25,73,2026-06-16 13:43:11,25000,3.14864,0.007047346410206767
26,88,2026-06-16 13:43:11,26000,3.1463076923076922,0.004715038717899134
27,77,2026-06-16 13:43:11,27000,3.147111111111111,0.005518457521318076
28,76,2026-06-16 13:43:11,28000,3.1445714285714286,0.002978774981635457
29,74,2026-06-16 13:43:11,29000,3.1419310344827585,0.0003383808929653398
