j,job_id,submit_time,timestamp,turnaround_s,N,pi_est,error
1,9,2026-06-16 13:45:08,2026-06-16 13:47:36,148.0,1000,3.168,0.026407346410207033
2,12,2026-06-16 13:45:08,2026-06-16 13:47:36,148.0,2000,3.132,0.009592653589792999
3,38,2026-06-16 13:45:08,2026-06-16 13:47:36,148.0,3000,3.1293333333333333,0.012259320256459816
4,15,2026-06-16 13:45:08,2026-06-16 13:47:36,148.0,4000,3.147,0.0054073464102066815
5,30,2026-06-16 13:45:08,2026-06-16 13:47:36,148.0,5000,3.1312,0.01039265358979291
6,0,2026-06-16 13:45:08,2026-06-16 13:47:36,148.0,6000,3.1353333333333335,0.0062593202564595884
7,2,2026-06-16 13:45:08,2026-06-16 13:47:36,148.0,7000,3.1342857142857143,0.0073069393040787745
8,59,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,8000,3.145,0.0034073464102069018
9,98,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,9000,3.1364444444444444,0.005148209145348748
10,63,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,10000,3.1368,0.004792653589793083
11,62,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,11000,3.1338181818181816,0.007774471771611502
12,13,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,12000,3.129,0.012592653589793112
13,39,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,13000,3.133230769230769,0.008361884359024074
14,28,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,14000,3.136,0.005592653589792995
15,101,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,15000,3.1378666666666666,0.003725986923126534
16,33,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,16000,3.1385,0.0030926535897930485
17,32,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,17000,3.1378823529411766,0.003710300648616549
18,24,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,18000,3.1284444444444444,0.013148209145348755
19,31,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,19000,3.1322105263157893,0.009382127274003782
20,35,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,20000,3.1298,0.0117926535897932
21,34,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,21000,3.1306666666666665,0.01092598692312663
22,36,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,22000,3.133272727272727,0.008319926317065907
23,37,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,23000,3.133739130434783,0.007853523155010311
24,93,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,24000,3.133,0.008592653589793109
25,78,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,25000,3.13472,0.006872653589792943
26,44,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,26000,3.134153846153846,0.007438807435947048
27,86,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,27000,3.137037037037037,0.00455561655275627
28,84,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,28000,3.133714285714286,0.00787836787550722
29,52,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,29000,3.1346206896551725,0.006971963934620629
30,85,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,30000,3.1348,0.006792653589793307
31,81,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,31000,3.1338064516129034,0.007786201976889728
32,95,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,32000,3.131875,0.009717653589793152
33,42,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,33000,3.132848484848485,0.008744168741308123
34,56,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,34000,3.132705882352941,0.008886771236852109
35,57,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,35000,3.137942857142857,0.003649796446936193
36,55,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,36000,3.1375555555555557,0.004037098034237463
37,41,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,37000,3.13827027027027,0.003322383319523059
38,40,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,38000,3.136631578947368,0.004961074642424901
39,54,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,39000,3.1364102564102563,0.005182397179536835
40,97,2026-06-16 13:45:08,2026-06-16 13:47:37,149.0,40000,3.1338,0.007792653589793197
41,156,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,41000,3.135317073170732,0.0062755804190612885
42,142,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,42000,3.1353333333333335,0.0062593202564595884
43,99,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,43000,3.1346976744186046,0.006894979171188531
44,141,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,44000,3.134272727272727,0.007319926317066017
45,77,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,45000,3.1328,0.008792653589793087
46,144,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,46000,3.136,0.005592653589792995
47,146,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,47000,3.1367659574468085,0.004826696142984588
48,74,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,48000,3.137166666666667,0.004425986923126235
49,153,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,49000,3.1377959183673467,0.00379673522244639
50,120,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,50000,3.13736,0.004232653589792967
51,121,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,51000,3.1362352941176472,0.005357359472145884
52,123,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,52000,3.136076923076923,0.005515730512870132
53,122,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,53000,3.136754716981132,0.004837936608661053
54,132,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,54000,3.1378518518518517,0.003740801737941446
55,119,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,55000,3.137163636363636,0.004429017226156962
56,125,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,56000,3.139,0.0025926535897933256
57,124,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,57000,3.1409122807017544,0.0006803728880386828
58,118,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,58000,3.1413103448275863,0.00028230876220680656
59,115,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,59000,3.142101694915254,0.0005090413254609238
60,100,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,60000,3.1405333333333334,0.001059320256459717
61,117,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,61000,3.1403934426229507,0.00119921096684239
62,112,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,62000,3.140774193548387,0.0008184600414060661
63,139,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,63000,3.1396190476190475,0.0019736059707455844
64,45,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,64000,3.1395,0.0020926535897931586
65,148,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,65000,3.1391384615384617,0.002454192051331461
66,80,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,66000,3.1391515151515152,0.002441138438277868
67,159,2026-06-16 13:45:08,2026-06-16 13:47:38,150.0,67000,3.1406567164179107,0.0009359371718824505
68,157,2026-06-16 13:45:08,2026-06-16 13:47:39,151.0,68000,3.140764705882353,0.0008279477074402131
69,180,2026-06-16 13:45:08,2026-06-16 13:47:39,151.0,69000,3.1402898550724636,0.0013027985173295065
70,194,2026-06-16 13:45:08,2026-06-16 13:47:39,151.0,70000,3.1393142857142857,0.002278367875507392
71,195,2026-06-16 13:45:08,2026-06-16 13:47:39,151.0,71000,3.1383098591549294,0.0032827944348636784
72,140,2026-06-16 13:45:08,2026-06-16 13:47:39,151.0,72000,3.137611111111111,0.0039815424786819875
73,168,2026-06-16 13:45:08,2026-06-16 13:47:39,151.0,73000,3.139068493150685,0.0025241604391079697
74,197,2026-06-16 13:45:08,2026-06-16 13:47:39,151.0,74000,3.1372972972972972,0.004295356292495889
