j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,0,2026-07-13 15:04:34,2026-07-13 15:05:43,2026-07-13 15:05:43,69.0,69.0,0,100,3.28,0.1384073464102067
2,1,2026-07-13 15:04:35,2026-07-13 15:05:43,2026-07-13 15:05:44,69.0,70.0,0,200,3.22,0.07840734641020708
3,2,2026-07-13 15:04:35,2026-07-13 15:05:44,2026-07-13 15:05:44,70.0,70.0,0,300,3.1866666666666665,0.04507401307687342
4,4,2026-07-13 15:04:35,2026-07-13 15:05:45,2026-07-13 15:05:45,71.0,71.0,0,400,3.19,0.04840734641020683
5,3,2026-07-13 15:04:35,2026-07-13 15:05:44,2026-07-13 15:05:45,70.0,71.0,0,500,3.176,0.03440734641020704
6,6,2026-07-13 15:04:35,2026-07-13 15:05:46,2026-07-13 15:05:46,72.0,72.0,0,600,3.1866666666666665,0.04507401307687342
7,7,2026-07-13 15:04:35,2026-07-13 15:05:46,2026-07-13 15:05:46,72.0,72.0,0,700,3.16,0.018407346410207026
8,5,2026-07-13 15:04:35,2026-07-13 15:05:45,2026-07-13 15:05:46,71.0,72.0,0,800,3.19,0.04840734641020683
9,9,2026-07-13 15:04:36,2026-07-13 15:05:47,2026-07-13 15:05:47,73.0,73.0,0,900,3.1911111111111112,0.049518457521318116
10,8,2026-07-13 15:04:36,2026-07-13 15:05:47,2026-07-13 15:05:47,73.0,73.0,0,1000,3.152,0.010407346410207019
11,11,2026-07-13 15:04:35,2026-07-13 15:05:48,2026-07-13 15:05:48,74.0,74.0,0,1100,3.1345454545454547,0.00704719904433837
12,10,2026-07-13 15:04:35,2026-07-13 15:05:48,2026-07-13 15:05:48,74.0,74.0,0,1200,3.1233333333333335,0.0182593202564596
13,12,2026-07-13 15:04:35,2026-07-13 15:05:49,2026-07-13 15:05:49,75.0,75.0,0,1300,3.12,0.02159265358979301
14,13,2026-07-13 15:04:35,2026-07-13 15:05:49,2026-07-13 15:05:49,75.0,75.0,0,1400,3.1342857142857143,0.0073069393040787745
15,14,2026-07-13 15:04:35,2026-07-13 15:05:49,2026-07-13 15:05:50,75.0,76.0,0,1500,3.1413333333333333,0.00025932025645980517
16,15,2026-07-13 15:04:35,2026-07-13 15:05:50,2026-07-13 15:05:50,76.0,76.0,0,1600,3.1475,0.0059073464102068485
17,17,2026-07-13 15:04:35,2026-07-13 15:05:51,2026-07-13 15:05:51,77.0,77.0,0,1700,3.155294117647059,0.013701464057265689
18,16,2026-07-13 15:04:35,2026-07-13 15:05:50,2026-07-13 15:05:51,76.0,77.0,0,1800,3.16,0.018407346410207026
19,25,2026-07-13 15:04:35,2026-07-13 15:05:52,2026-07-13 15:05:53,78.0,79.0,0,1900,3.1621052631578945,0.020512609568101414
20,19,2026-07-13 15:04:35,2026-07-13 15:05:52,2026-07-13 15:05:53,78.0,79.0,0,2000,3.154,0.012407346410206799
21,21,2026-07-13 15:04:35,2026-07-13 15:05:52,2026-07-13 15:05:53,78.0,79.0,0,2100,3.1485714285714286,0.0069787749816354605
22,20,2026-07-13 15:04:35,2026-07-13 15:05:52,2026-07-13 15:05:53,78.0,79.0,0,2200,3.1472727272727274,0.005680073682934328
23,90,2026-07-13 15:04:36,2026-07-13 15:05:52,2026-07-13 15:05:53,78.0,79.0,0,2300,3.1443478260869564,0.002755172497163283
