j,job_id,timestamp,N,pi_est,error
1,12,2026-06-16 13:43:46,1000,3.084,0.05759265358979304
2,14,2026-06-16 13:43:46,2000,3.134,0.007592653589793219
3,20,2026-06-16 13:43:46,3000,3.1426666666666665,0.0010740130768733813
4,37,2026-06-16 13:43:46,4000,3.139,0.0025926535897933256
5,45,2026-06-16 13:43:46,5000,3.156,0.014407346410207023
6,1,2026-06-16 13:43:46,6000,3.146,0.004407346410206792
7,59,2026-06-16 13:43:47,7000,3.1445714285714286,0.002978774981635457
8,64,2026-06-16 13:43:47,8000,3.14,0.0015926535897929917
9,73,2026-06-16 13:43:47,9000,3.144,0.002407346410207012
10,9,2026-06-16 13:43:47,10000,3.1484,0.006807346410206971
11,88,2026-06-16 13:43:47,11000,3.1436363636363636,0.002043710046570446
12,146,2026-06-16 13:43:47,12000,3.1546666666666665,0.013074013076873392
13,60,2026-06-16 13:43:47,13000,3.1578461538461537,0.01625350025636063
14,61,2026-06-16 13:43:47,14000,3.1625714285714284,0.02097877498163525
15,153,2026-06-16 13:43:47,15000,3.16,0.018407346410207026
16,147,2026-06-16 13:43:47,16000,3.15925,0.017657346410206998
17,136,2026-06-16 13:43:47,17000,3.164705882352941,0.02311322876314792
18,115,2026-06-16 13:43:47,18000,3.1626666666666665,0.0210740130768734
19,27,2026-06-16 13:43:47,19000,3.1621052631578945,0.020512609568101414
20,24,2026-06-16 13:43:47,20000,3.1626,0.02100734641020674
21,19,2026-06-16 13:43:47,21000,3.165714285714286,0.02412163212449281
22,36,2026-06-16 13:43:47,22000,3.164181818181818,0.02258916459202487
23,22,2026-06-16 13:43:47,23000,3.1629565217391304,0.02136386814933733
24,23,2026-06-16 13:43:47,24000,3.166166666666667,0.02457401307687368
25,86,2026-06-16 13:43:47,25000,3.16448,0.022887346410207066
26,0,2026-06-16 13:43:47,26000,3.162,0.020407346410206806
27,69,2026-06-16 13:43:47,27000,3.162074074074074,0.02048142048428092
28,157,2026-06-16 13:43:48,28000,3.160285714285714,0.018693060695921027
29,195,2026-06-16 13:43:48,29000,3.1591724137931037,0.017579760203310535
30,156,2026-06-16 13:43:48,30000,3.1564,0.014807346410206979
31,183,2026-06-16 13:43:48,31000,3.155741935483871,0.014149281894078047
32,182,2026-06-16 13:43:48,32000,3.153375,0.011782346410206923
33,179,2026-06-16 13:43:48,33000,3.151878787878788,0.01028613428899483
34,151,2026-06-16 13:43:48,34000,3.152,0.010407346410207019
35,89,2026-06-16 13:43:48,35000,3.1496,0.00800734641020684
36,187,2026-06-16 13:43:48,36000,3.1485555555555558,0.006962901965762658
37,178,2026-06-16 13:43:48,37000,3.1477837837837837,0.006191130193990535
38,224,2026-06-16 13:43:48,38000,3.148,0.0064073464102070155
39,242,2026-06-16 13:43:48,39000,3.1477948717948716,0.006202218205078491
40,10,2026-06-16 13:43:48,40000,3.1486,0.007007346410206949
41,247,2026-06-16 13:43:48,41000,3.151707317073171,0.01011466348337775
42,17,2026-06-16 13:43:48,42000,3.1534285714285715,0.011835917838778354
43,262,2026-06-16 13:43:48,43000,3.1532093023255814,0.01161664873578827
44,18,2026-06-16 13:43:48,44000,3.1522727272727273,0.010680073682934221
45,249,2026-06-16 13:43:48,45000,3.1515555555555554,0.009962901965762327
46,103,2026-06-16 13:43:48,46000,3.151217391304348,0.009624737714554854
47,35,2026-06-16 13:43:48,47000,3.15268085106383,0.011088197474036665
48,105,2026-06-16 13:43:48,48000,3.1555,0.013907346410206856
49,176,2026-06-16 13:43:48,49000,3.1539591836734693,0.012366530083676164
50,189,2026-06-16 13:43:48,50000,3.15552,0.013927346410206987
51,44,2026-06-16 13:43:48,51000,3.155450980392157,0.013858326802363763
52,188,2026-06-16 13:43:48,52000,3.1547692307692308,0.013176577179437654
53,177,2026-06-16 13:43:48,53000,3.154566037735849,0.012973384146055977
54,46,2026-06-16 13:43:48,54000,3.153185185185185,0.011592531595391975
55,160,2026-06-16 13:43:48,55000,3.153672727272727,0.012080073682934067
56,174,2026-06-16 13:43:48,56000,3.1542142857142856,0.012621632124492521
57,171,2026-06-16 13:43:48,57000,3.1540350877192984,0.012442434129505298
58,198,2026-06-16 13:43:48,58000,3.152758620689655,0.011165967099862062
59,3,2026-06-16 13:43:48,59000,3.1519322033898307,0.010339549800037595
60,68,2026-06-16 13:43:48,60000,3.1524666666666668,0.010874013076873634
