j,job_id,submit_time,timestamp,turnaround_s,N,pi_est,error
1,4,2026-06-24 14:04:28,2026-06-24 14:04:32,4.0,100000,3.13988,0.0017126535897933337
2,1,2026-06-24 14:04:28,2026-06-24 14:04:32,4.0,200000,3.1437,0.002107346410206823
3,2,2026-06-24 14:04:28,2026-06-24 14:04:32,4.0,300000,3.1441866666666667,0.002594013076873569
4,8,2026-06-24 14:04:28,2026-06-24 14:04:33,5.0,400000,3.14464,0.0030473464102067638
5,6,2026-06-24 14:04:28,2026-06-24 14:04:33,5.0,500000,3.145408,0.0038153464102070878
6,7,2026-06-24 14:04:28,2026-06-24 14:04:33,5.0,600000,3.1459866666666665,0.004394013076873371
7,5,2026-06-24 14:04:28,2026-06-24 14:04:33,5.0,700000,3.1452742857142857,0.003681632124492573
8,0,2026-06-24 14:04:28,2026-06-24 14:04:33,5.0,800000,3.14564,0.004047346410207098
9,3,2026-06-24 14:04:28,2026-06-24 14:04:33,5.0,900000,3.145008888888889,0.003416235299095849
10,9,2026-06-24 14:04:28,2026-06-24 14:04:34,6.0,1000000,3.145688,0.004095346410206702
