j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,2,2026-07-13 14:55:44,2026-07-13 14:56:41,2026-07-13 14:56:41,57.0,57.0,0,100,3.0,0.14159265358979312
2,9,2026-07-13 14:55:46,2026-07-13 14:56:42,2026-07-13 14:56:42,58.0,58.0,0,200,3.12,0.02159265358979301
3,8,2026-07-13 14:55:45,2026-07-13 14:56:41,2026-07-13 14:56:42,57.0,58.0,0,300,3.1866666666666665,0.04507401307687342
4,13,2026-07-13 14:55:44,2026-07-13 14:56:42,2026-07-13 14:56:42,58.0,58.0,0,400,3.22,0.07840734641020708
5,10,2026-07-13 14:55:44,2026-07-13 14:56:42,2026-07-13 14:56:42,58.0,58.0,0,500,3.184,0.04240734641020705
6,16,2026-07-13 14:55:44,2026-07-13 14:56:42,2026-07-13 14:56:42,58.0,58.0,0,600,3.16,0.018407346410207026
7,6,2026-07-13 14:55:45,2026-07-13 14:56:41,2026-07-13 14:56:42,57.0,58.0,0,700,3.1714285714285713,0.029835917838778148
8,7,2026-07-13 14:55:45,2026-07-13 14:56:41,2026-07-13 14:56:42,57.0,58.0,0,800,3.175,0.033407346410206706
9,5,2026-07-13 14:55:45,2026-07-13 14:56:41,2026-07-13 14:56:42,57.0,58.0,0,900,3.1866666666666665,0.04507401307687342
10,4,2026-07-13 14:55:45,2026-07-13 14:56:41,2026-07-13 14:56:42,57.0,58.0,0,1000,3.2,0.05840734641020706
11,1,2026-07-13 14:55:44,2026-07-13 14:56:41,2026-07-13 14:56:42,57.0,58.0,0,1100,3.1963636363636363,0.05477098277384318
12,3,2026-07-13 14:55:45,2026-07-13 14:56:41,2026-07-13 14:56:42,57.0,58.0,0,1200,3.19,0.04840734641020683
13,12,2026-07-13 14:55:44,2026-07-13 14:56:42,2026-07-13 14:56:43,58.0,59.0,0,1300,3.1969230769230768,0.05533042333328364
14,11,2026-07-13 14:55:44,2026-07-13 14:56:42,2026-07-13 14:56:43,58.0,59.0,0,1400,3.2,0.05840734641020706
15,14,2026-07-13 14:55:44,2026-07-13 14:56:43,2026-07-13 14:56:43,59.0,59.0,0,1500,3.2053333333333334,0.06374067974354025
16,15,2026-07-13 14:55:44,2026-07-13 14:56:42,2026-07-13 14:56:43,58.0,59.0,0,1600,3.185,0.04340734641020694
17,17,2026-07-13 14:55:44,2026-07-13 14:56:43,2026-07-13 14:56:43,59.0,59.0,0,1700,3.1694117647058824,0.027819111116089257
18,26,2026-07-13 14:55:45,2026-07-13 14:56:43,2026-07-13 14:56:43,59.0,59.0,0,1800,3.1866666666666665,0.04507401307687342
19,18,2026-07-13 14:55:44,2026-07-13 14:56:43,2026-07-13 14:56:43,59.0,59.0,0,1900,3.1936842105263157,0.052091556936522565
